,model_name,model_category,batch_size,model_parameters,num_inference_steps,precision,inference_time,device_to_host_time,host_to_device_time,avg_time,communication_time
19,efficientnet_b1,efficientnet,16,7794184.0,10,float32,0.010894510149955749,0.006158719956874848,0.5532958954572678,0.5703491255640984,0.5594546154141427
20,efficientnet_b1,efficientnet,32,7794184.0,10,float32,0.005419540405273438,0.0061826929450035095,0.3434163860976696,0.35501861944794655,0.3495990790426731
21,efficientnet_b1,efficientnet,64,7794184.0,10,float32,0.003242211416363716,0.006493472680449486,0.2108570456504822,0.22059272974729538,0.21735051833093166
22,efficientnet_b1,efficientnet,16,7794184.0,10,float64,0.01200408935546875,0.006275440752506256,0.019634248316287996,0.03791377842426301,0.02590968906879425
23,efficientnet_b1,efficientnet,32,7794184.0,10,float64,0.006105083227157593,0.0063513308763504025,0.011770721524953842,0.024227135628461835,0.018122052401304246
24,efficientnet_b1,efficientnet,64,7794184.0,10,float64,0.003067953512072563,0.006597923114895821,0.0057420793920755385,0.015407956019043923,0.01234000250697136
25,efficientnet_b2,efficientnet,16,9109994.0,10,bfloat16,0.012682750821113586,0.003251604735851288,0.775835208594799,0.7917695641517639,0.7790868133306503
26,efficientnet_b2,efficientnet,32,9109994.0,10,bfloat16,0.005900862067937851,0.0031820453703403475,0.527842926979065,0.5369258344173432,0.5310249723494054
27,efficientnet_b2,efficientnet,64,9109994.0,10,bfloat16,0.0030783362686634063,0.003130032494664192,0.3239832531660795,0.3301916219294071,0.3271132856607437
28,efficientnet_b2,efficientnet,16,9109994.0,10,float16,0.010961547493934631,0.0035078614950180055,0.8890606477856636,0.9035300567746163,0.8925685092806817
29,efficientnet_b2,efficientnet,32,9109994.0,10,float16,0.005744479596614838,0.003415472060441971,0.8705520935356617,0.8797120451927185,0.8739675655961037
30,efficientnet_b2,efficientnet,64,9109994.0,10,float16,0.0029595304280519486,0.0035104140639305114,0.522649509459734,0.5291194539517164,0.5261599235236645
31,efficientnet_b2,efficientnet,16,9109994.0,10,float32,0.011162520945072174,0.006227187812328339,0.6276900619268417,0.6450797706842423,0.6339172497391701
32,efficientnet_b2,efficientnet,32,9109994.0,10,float32,0.005445995926856994,0.006959893554449081,0.3702448934316635,0.3826507829129696,0.3772047869861126
33,efficientnet_b2,efficientnet,64,9109994.0,10,float32,0.002850399166345596,0.0067911334335803986,0.23102718107402326,0.24066871367394926,0.23781831450760366
34,efficientnet_b2,efficientnet,16,9109994.0,10,float64,0.012259288132190705,0.006487302482128143,0.02007904350757599,0.03882563412189484,0.026566345989704133
35,efficientnet_b2,efficientnet,32,9109994.0,10,float64,0.007541789114475251,0.0064308948814868925,0.01299104318022728,0.026963727176189424,0.01942193806171417
36,efficientnet_b2,efficientnet,64,9109994.0,10,float64,0.0031762219965457915,0.006679233908653259,0.005748976767063141,0.015604432672262192,0.0124282106757164
37,efficientnet_b3,efficientnet,16,12233232.0,10,bfloat16,0.018260249495506288,0.00329512357711792,0.845273694396019,0.8668290674686432,0.8485688179731369
38,efficientnet_b3,efficientnet,32,12233232.0,10,bfloat16,0.006708650290966034,0.0031676806509494783,0.5696236491203308,0.5794999800622463,0.5727913297712803
39,efficientnet_b3,efficientnet,64,12233232.0,10,bfloat16,0.003143005445599556,0.0030806545168161393,0.3526570923626423,0.358880752325058,0.35573774687945847
40,efficientnet_b3,efficientnet,16,12233232.0,10,float16,0.013404446840286254,0.003729155659675598,0.9448428317904473,0.9619764342904091,0.9485719874501228
41,efficientnet_b3,efficientnet,32,12233232.0,10,float16,0.00636453852057457,0.0035411126911640166,0.92091119363904,0.9308168448507785,0.9244523063302039
42,efficientnet_b3,efficientnet,64,12233232.0,10,float16,0.0033627737313508986,0.0033552803099155424,0.5540205635130405,0.5607386175543069,0.557375843822956
43,efficientnet_b3,efficientnet,16,12233232.0,10,float32,0.012808728218078613,0.0061195030808448795,0.6785579189658165,0.69748615026474,0.6846774220466614
44,efficientnet_b3,efficientnet,32,12233232.0,10,float32,0.006714430451393127,0.005990376323461532,0.4083262406289577,0.4210310474038124,0.4143166169524193
45,efficientnet_b3,efficientnet,64,12233232.0,10,float32,0.003229202702641487,0.006785806640982628,0.25626596957445147,0.26628097891807556,0.2630517762154341
46,efficientnet_b3,efficientnet,16,12233232.0,10,float64,0.013916654884815216,0.006417618691921234,0.023621118068695067,0.04395539164543152,0.030038736760616302
47,efficientnet_b3,efficientnet,32,12233232.0,10,float64,0.007731818407773971,0.006418808549642563,0.013125920295715332,0.027276547253131864,0.019544728845357896
48,efficientnet_b3,efficientnet,64,12233232.0,10,float64,0.0040362771600484845,0.0069490309804677965,0.007046420872211456,0.018031729012727735,0.013995451852679253
49,efficientnet_b4,efficientnet,16,19341616.0,10,bfloat16,0.01751864105463028,0.0033285707235336305,0.9498251542448998,0.9706723660230637,0.9531537249684334
50,efficientnet_b4,efficientnet,32,19341616.0,10,bfloat16,0.00858040265625,0.0034720862217149802,0.5571940525698779,0.5692465414478429,0.5606661387915929
51,efficientnet_b4,efficientnet,64,19341616.0,10,bfloat16,0.004200742393732071,0.004174745082855225,0.3979543697088957,0.406329857185483,0.4021291147917509
52,efficientnet_b4,efficientnet,16,19341616.0,10,float16,0.017218968272209166,0.003538408875465393,1.0734214916825295,1.094178868830204,1.0769599005579948
53,efficientnet_b4,efficientnet,32,19341616.0,10,float16,0.008507170528173447,0.003387076407670975,0.9996565364301204,1.0115507833659647,1.0030436128377913
54,efficientnet_b4,efficientnet,64,19341616.0,10,float16,0.002432810515165329,0.0035940587520599367,0.009407325461506844,0.015434194728732111,0.01300138421356678
55,efficientnet_b4,efficientnet,16,19341616.0,10,float32,0.015925510227680205,0.006213502585887909,0.7733809381723404,0.7955199509859086,0.7795944407582284
56,efficientnet_b4,efficientnet,32,19341616.0,10,float32,0.011290125548839569,0.007177948206663132,0.46322120130062105,0.48168927505612374,0.4703991495072842
57,efficientnet_b4,efficientnet,64,19341616.0,10,float32,0.004154582321643829,0.0069857299327850345,0.29054898805916307,0.3016893003135919,0.2975347179919481
58,efficientnet_b4,efficientnet,16,19341616.0,10,float64,0.016366906464099884,0.006716185808181762,0.027523091435432433,0.05060618370771408,0.0342392772436142
59,efficientnet_b4,efficientnet,32,19341616.0,10,float64,0.008820129185914993,0.006427138298749924,0.014721741527318954,0.02996900901198387,0.02114887982606888
60,efficientnet_b4,efficientnet,64,19341616.0,10,float64,0.004494431987404823,0.00681876614689827,0.008248156309127808,0.0195613544434309,0.015066922456026078
61,mobilenetv2_100,misc,16,3504872.0,10,bfloat16,0.005379149317741394,0.00332358181476593,0.39479820877313615,0.4035009399056435,0.3981217905879021
62,mobilenetv2_100,misc,32,3504872.0,10,bfloat16,0.002639954537153244,0.003177987039089203,0.2635195255279541,0.2693374671041966,0.2666975125670433
63,mobilenetv2_100,misc,64,3504872.0,10,bfloat16,0.0014693345874547958,0.00314195342361927,0.16141903549432754,0.16603032350540162,0.16456098891794682
64,mobilenetv2_100,misc,16,3504872.0,10,float16,0.006076456606388092,0.003616710007190704,0.4909662947058678,0.5006594613194466,0.4945830047130585
65,mobilenetv2_100,misc,32,3504872.0,10,float16,0.003029913455247879,0.003557046502828598,0.3278669252991676,0.3344538852572441,0.33142397180199623
66,mobilenetv2_100,misc,64,3504872.0,10,float16,0.0013065576553344727,0.003479195758700371,0.1951969973742962,0.19998275078833103,0.19867619313299656
67,mobilenetv2_100,misc,16,3504872.0,10,float32,0.005156423151493073,0.0063272729516029354,0.3251351907849312,0.3366188868880272,0.33146246373653415
68,mobilenetv2_100,misc,32,3504872.0,10,float32,0.0028842434287071226,0.006369126588106155,0.20286512970924378,0.21211849972605706,0.20923425629734993
