,device,device_type,model_name,model_category,batch_size,num_inference_steps,precision,model_parameters,inference_time,device_to_host_time,host_to_device_time,avg_time,communication_time,gpu_utilization,gpu_mem_used,gpu_mem_total,gpu_temp,gpu_power,gpu_count,cuda_version,cudnn_version,cuda_device_name,max_gpu_mem_allocated,max_gpu_mem_reserved
28,cuda,cuda,efficientnet_b1,efficientnet,64.0,1024.0,bfloat16,7794184.0,0.0001609375,6.09375e-05,0.0002796875,0.0321,0.000340625,5.3333,1391.6667,40960.0,26.6667,51.81,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
29,cuda,cuda,efficientnet_b1,efficientnet,64.0,512.0,bfloat16,7794184.0,0.0001625,6.09375e-05,0.0002796875,0.0322,0.000340625,5.3333,1391.6667,40960.0,26.6667,51.4033,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
30,cuda,cuda,efficientnet_b1,efficientnet,16.0,1024.0,float16,7794184.0,0.000675,6.25e-05,0.0,0.0119,6.25e-05,3.0,1391.6667,40960.0,26.6667,35.55,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
31,cuda,cuda,efficientnet_b1,efficientnet,16.0,512.0,float16,7794184.0,0.000675,6.25e-05,0.0,0.0118,6.25e-05,3.0,1391.6667,40960.0,27.0,35.3433,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
32,cuda,cuda,efficientnet_b1,efficientnet,32.0,1024.0,float16,7794184.0,0.00033125,5.9375e-05,6.5625e-05,0.0146,0.000125,2.3333,1391.6667,40960.0,26.3333,35.0567,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
33,cuda,cuda,efficientnet_b1,efficientnet,32.0,512.0,float16,7794184.0,0.00033125,5.9375e-05,6.5625e-05,0.0146,0.000125,2.3333,1391.6667,40960.0,26.3333,41.2033,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
34,cuda,cuda,efficientnet_b1,efficientnet,64.0,1024.0,float16,7794184.0,0.0001671875,6.09375e-05,0.0001578125,0.0247,0.00021874999999999998,0.0,1391.6667,40960.0,26.6667,45.26,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
35,cuda,cuda,efficientnet_b1,efficientnet,64.0,512.0,float16,7794184.0,0.000171875,6.09375e-05,0.00015625,0.0249,0.0002171875,4.0,1391.6667,40960.0,26.3333,35.5667,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2708.0
36,cuda,cuda,efficientnet_b1,efficientnet,16.0,1024.0,float32,7794184.0,0.000625,0.00011875,6.25e-06,0.0119,0.000125,13.0,1393.0,40960.0,28.6667,41.6533,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2712.0
37,cuda,cuda,efficientnet_b1,efficientnet,16.0,512.0,float32,7794184.0,0.000625,0.00011875,6.25e-06,0.0119,0.000125,12.3333,1393.0,40960.0,28.0,57.41,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2712.0
38,cuda,cuda,efficientnet_b1,efficientnet,32.0,1024.0,float32,7794184.0,0.00030625,0.000115625,4.375e-05,0.0148,0.000159375,14.6667,1393.0,40960.0,30.6667,76.0733,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2712.0
39,cuda,cuda,efficientnet_b1,efficientnet,32.0,512.0,float32,7794184.0,0.00030625,0.00011875,4.0625e-05,0.0149,0.000159375,14.6667,1393.0,40960.0,29.6667,45.4167,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2712.0
40,cuda,cuda,efficientnet_b1,efficientnet,64.0,1024.0,float32,7794184.0,0.00016875,8.90625e-05,0.0001625,0.0269,0.0002515625,13.3333,1393.0,40960.0,31.3333,43.7033,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2712.0
41,cuda,cuda,efficientnet_b1,efficientnet,64.0,512.0,float32,7794184.0,0.000165625,8.75e-05,0.0001640625,0.0267,0.0002515625,13.0,1393.0,40960.0,31.0,44.6933,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2712.0
42,cuda,cuda,efficientnet_b1,efficientnet,16.0,1024.0,float64,7794184.0,0.00056875,0.0002375,0.0003875,0.0191,0.000625,11.3333,1394.3333,40960.0,29.0,38.3333,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2716.0
43,cuda,cuda,efficientnet_b1,efficientnet,16.0,512.0,float64,7794184.0,0.00058125,0.0002375,0.0003625,0.0188,0.0006,10.6667,1394.3333,40960.0,30.0,36.49,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2716.0
44,cuda,cuda,efficientnet_b1,efficientnet,32.0,1024.0,float64,7794184.0,0.000315625,0.00024375,0.000603125,0.0372,0.000846875,8.0,1394.3333,40960.0,28.3333,58.9233,3.0,11.7,8500.0,"NVIDIA A100-PCIE-40GB
",1593.01,2716.0
