,device,device_type,model_name,model_category,batch_size,num_inference_steps,precision,model_parameters,inference_time,device_to_host_time,host_to_device_time,avg_time,cpu_count,cpu_utilization,cpu_memory_used,cpu_memory_available
43,cpu,cpu,mobilenetv2_100,misc,64.0,512.0,float32,3504872.0,0.0184953125,0.0,0.0,1.1837,128.0,0.8,5489.57421875,248109.99609375
44,cpu,cpu,mobilenetv2_100,misc,16.0,1024.0,float64,3504872.0,0.0534375,0.0,0.0,0.855,128.0,0.8,4300.3515625,250169.10546875
45,cpu,cpu,mobilenetv2_100,misc,16.0,512.0,float64,3504872.0,0.053475,0.0,0.0,0.8556,128.0,0.8,4328.1015625,250141.38671875
46,cpu,cpu,mobilenetv2_100,misc,32.0,512.0,float64,3504872.0,0.054453125,0.0,0.0,1.7425,128.0,0.8,5461.82421875,248137.75
47,cpu,cpu,mobilenetv2_100,misc,64.0,512.0,float64,3504872.0,0.0556265625,0.0,0.0,3.5601,128.0,0.8,5530.25390625,248069.296875
48,cpu,cpu,nasnetalarge,misc,16.0,1024.0,float32,88753150.0,0.33829375,0.0,0.0,5.4128,128.0,0.8,5099.421875,249198.6484375
49,cpu,cpu,nasnetalarge,misc,16.0,512.0,float32,88753150.0,0.34286875,0.0,0.0,5.4859,128.0,0.8,4896.49609375,249402.3671875
50,cpu,cpu,nasnetalarge,misc,32.0,512.0,float32,88753150.0,0.352734375,0.0,0.0,11.2876,128.0,0.8,6259.15234375,247169.83203125
51,cpu,cpu,nasnetalarge,misc,64.0,512.0,float32,88753150.0,0.3566125,0.0,3.125e-06,22.8234,128.0,0.8,6258.19140625,247167.3203125
52,cpu,cpu,nasnetalarge,misc,16.0,1024.0,float64,88753150.0,1.0255875,0.0,0.0,16.4094,128.0,0.8,6471.80078125,247816.6015625
53,cpu,cpu,nasnetalarge,misc,16.0,512.0,float64,88753150.0,1.02909375,0.0,0.0,16.4655,128.0,0.8,6431.48046875,247865.05078125
54,cpu,cpu,nasnetalarge,misc,32.0,512.0,float64,88753150.0,1.07029375,0.0,0.0,34.2494,128.0,0.8,6822.21484375,246787.0234375
55,cpu,cpu,nasnetalarge,misc,64.0,512.0,float64,88753150.0,1.1386109375,0.0,0.0,72.8711,128.0,0.8,6822.21484375,246787.0234375
56,cpu,cpu,resnet101,resnet,16.0,512.0,float32,44549160.0,0.18815,0.0,0.0,3.0104,128.0,0.8,6606.41796875,246916.3359375
57,cpu,cpu,resnet101,resnet,32.0,512.0,float32,44549160.0,0.1839125,0.0,0.0,5.8853,128.0,0.8,5392.4921875,248102.59765625
58,cpu,cpu,resnet101,resnet,64.0,512.0,float32,44549160.0,0.1913015625,0.0,0.0,12.2433,128.0,0.8,5392.38671875,248102.67578125
59,cpu,cpu,resnet101,resnet,16.0,512.0,float64,44549160.0,0.48045625,0.0,0.0,7.6874,128.0,0.8,6605.671875,246908.98046875
60,cpu,cpu,resnet101,resnet,32.0,512.0,float64,44549160.0,0.46935,0.0,0.0,15.0192,128.0,0.8,5616.33203125,247878.6484375
61,cpu,cpu,resnet101,resnet,64.0,512.0,float64,44549160.0,0.4928175,0.0,0.0,31.54032,128.0,0.8,5616.33203125,247878.6484375
62,cpu,cpu,resnet152,resnet,16.0,512.0,float32,60192808.0,0.2724125,0.0,0.0,4.3587,128.0,0.8,6605.48828125,246793.9609375
63,cpu,cpu,resnet152,resnet,32.0,512.0,float32,60192808.0,0.27725625,0.0,0.0,8.8723,128.0,0.8,6606.57421875,246792.72265625
64,cpu,cpu,resnet152,resnet,64.0,512.0,float32,60192808.0,0.28185,0.0,0.0,18.0384,128.0,0.8,6609.0625,246790.0078125
65,cpu,cpu,resnet152,resnet,16.0,512.0,float64,60192808.0,0.69321875,0.0,0.0,11.0915,128.0,0.8,6633.1953125,246765.80078125
66,cpu,cpu,resnet152,resnet,32.0,512.0,float64,60192808.0,0.70951875,0.0,0.0,22.7046,128.0,0.8,6628.25,246759.203125
67,cpu,cpu,resnet152,resnet,64.0,512.0,float64,60192808.0,0.7449946875,0.0,0.0,47.67966,128.0,0.8,6628.25,246759.203125
68,cpu,cpu,resnet18,resnet,16.0,1024.0,float32,11689512.0,0.04301875,0.0,0.0,0.6883,128.0,0.8,6112.51171875,248153.40625
69,cpu,cpu,resnet18,resnet,16.0,512.0,float32,11689512.0,0.04308125,0.0,0.0,0.6893,128.0,0.8,6400.93359375,247865.00390625
70,cpu,cpu,resnet18,resnet,32.0,512.0,float32,11689512.0,0.044459375,0.0,0.0,1.4228,128.0,0.8,5201.82421875,248715.66796875
71,cpu,cpu,resnet18,resnet,64.0,512.0,float32,11689512.0,0.0454078125,0.0,0.0,2.9061,128.0,0.8,5218.15625,248694.61328125
72,cpu,cpu,resnet18,resnet,16.0,1024.0,float64,11689512.0,0.1201375,0.0,0.0,1.9223,128.0,0.8,6111.30859375,248154.87890625
73,cpu,cpu,resnet18,resnet,16.0,512.0,float64,11689512.0,0.12015625,0.0,0.0,1.9225,128.0,0.8,6111.44921875,248154.6953125
74,cpu,cpu,resnet18,resnet,32.0,512.0,float64,11689512.0,0.128765625,0.0,0.0,4.1205,128.0,0.8,5435.66796875,248505.98828125
75,cpu,cpu,resnet18,resnet,64.0,512.0,float64,11689512.0,0.1288234375,0.0,0.0,8.2447,128.0,0.8,5526.75,248414.33203125
76,cpu,cpu,resnet26,resnet,16.0,1024.0,float32,15995176.0,0.0592125,0.0,0.0,0.9474,128.0,0.8,6112.12890625,248123.36328125
77,cpu,cpu,resnet26,resnet,16.0,512.0,float32,15995176.0,0.0592625,0.0,0.0,0.9482,128.0,0.8,6111.9765625,248123.61328125
78,cpu,cpu,resnet26,resnet,32.0,512.0,float32,15995176.0,0.0632375,0.0,0.0,2.0236,128.0,0.8,5427.69921875,248482.79296875
79,cpu,cpu,resnet26,resnet,64.0,512.0,float32,15995176.0,0.0645265625,0.0,0.0,4.1298,128.0,0.8,5432.87109375,248477.77734375
80,cpu,cpu,resnet26,resnet,16.0,1024.0,float64,15995176.0,0.148825,0.0,0.0,2.3812,128.0,0.8,6110.2265625,248125.23046875
81,cpu,cpu,resnet26,resnet,16.0,512.0,float64,15995176.0,0.14871875,0.0,0.0,2.3795,128.0,0.8,6112.01171875,248123.49609375
82,cpu,cpu,resnet26,resnet,32.0,512.0,float64,15995176.0,0.15940625,0.0,0.0,5.1011,128.0,0.8,5431.140625,248479.7265625
83,cpu,cpu,resnet26,resnet,64.0,512.0,float64,15995176.0,0.159778125,0.0,0.0,10.2258,128.0,0.8,5456.5,248450.70703125
84,cpu,cpu,resnet34,resnet,16.0,1024.0,float32,21797672.0,0.0803875,0.0,0.0,1.2862,128.0,0.8,6111.515625,248082.3828125
85,cpu,cpu,resnet34,resnet,16.0,512.0,float32,21797672.0,0.08040625,0.0,0.0,1.2865,128.0,0.8,6110.41015625,248083.53515625
86,cpu,cpu,resnet34,resnet,32.0,512.0,float32,21797672.0,0.0812375,0.0,0.0,2.5996,128.0,0.8,5372.71875,248492.94140625
87,cpu,cpu,resnet34,resnet,64.0,512.0,float32,21797672.0,0.082415625,0.0,0.0,5.2747,128.0,0.8,5406.7109375,248459.12890625
88,cpu,cpu,resnet34,resnet,16.0,1024.0,float64,21797672.0,0.225125,0.0,0.0,3.602,128.0,0.8,6109.703125,248083.87109375
89,cpu,cpu,resnet34,resnet,16.0,512.0,float64,21797672.0,0.22515625,0.0,0.0,3.6026,128.0,0.8,6110.4140625,248083.4296875
90,cpu,cpu,resnet34,resnet,32.0,512.0,float64,21797672.0,0.239840625,0.0,0.0,7.6749,128.0,0.8,5453.44921875,248404.3359375
91,cpu,cpu,resnet34,resnet,64.0,512.0,float64,21797672.0,0.240034375,0.0,0.0,15.3623,128.0,0.8,5450.5546875,248407.265625
92,cpu,cpu,resnet50,resnet,16.0,1024.0,float32,25557032.0,0.097925,0.0,0.0,1.5669,128.0,0.8,6110.22265625,248034.41015625
93,cpu,cpu,resnet50,resnet,16.0,512.0,float32,25557032.0,0.0979,0.0,0.0,1.5664,128.0,0.8,6109.8671875,248034.8203125
94,cpu,cpu,resnet50,resnet,32.0,512.0,float32,25557032.0,0.103040625,0.0,0.0,3.2973,128.0,0.8,5357.9921875,248451.01953125
95,cpu,cpu,resnet50,resnet,64.0,512.0,float32,25557032.0,0.107203125,0.0,0.0,6.8611,128.0,0.8,5382.5546875,248426.44140625
96,cpu,cpu,resnet50,resnet,16.0,1024.0,float64,25557032.0,0.24771875,0.0,0.0,3.9635,128.0,0.8,6110.4140625,248034.40234375
97,cpu,cpu,resnet50,resnet,16.0,512.0,float64,25557032.0,0.24771875,0.0,0.0,3.9635,128.0,0.8,6110.4140625,248034.40234375
98,cpu,cpu,resnet50,resnet,32.0,512.0,float64,25557032.0,0.2640625,0.0,0.0,8.45,128.0,0.8,5405.87890625,248403.16796875
99,cpu,cpu,resnet50,resnet,64.0,512.0,float64,25557032.0,0.2646453125,0.0,0.0,16.9374,128.0,0.8,5508.7421875,248071.64453125
100,cpu,cpu,vgg11,vgg,16.0,512.0,float32,132863336.0,0.18991875,0.0,0.0,3.0387,128.0,0.8,6543.6328125,247020.5390625
101,cpu,cpu,vgg11,vgg,32.0,512.0,float32,132863336.0,0.187353125,0.0,0.0,5.9953,128.0,0.8,6503.203125,247153.84765625
102,cpu,cpu,vgg11,vgg,64.0,512.0,float32,132863336.0,0.1856390625,0.0,0.0,11.8809,128.0,0.8,6420.80078125,247235.93359375
103,cpu,cpu,vgg11,vgg,16.0,512.0,float64,132863336.0,0.40621875,0.0,0.0,6.4995,128.0,0.8,7068.51171875,246586.60546875
104,cpu,cpu,vgg11,vgg,32.0,512.0,float64,132863336.0,0.40589375,0.0,3.125e-06,12.9887,128.0,0.8,7082.7890625,246568.37109375
105,cpu,cpu,vgg11,vgg,64.0,512.0,float64,132863336.0,0.408628125,0.0,0.0,26.1522,128.0,0.8,7118.5625,246532.6015625
106,cpu,cpu,vgg13,vgg,16.0,512.0,float32,133047848.0,0.26469375,0.0,0.0,4.2351,128.0,0.8,6522.5625,246875.00390625
107,cpu,cpu,vgg13,vgg,32.0,512.0,float32,133047848.0,0.26326875,0.0,3.125e-06,8.4247,128.0,0.8,6521.87109375,246878.5234375
108,cpu,cpu,vgg13,vgg,64.0,512.0,float32,133047848.0,0.2625390625,0.0,1.5625e-06,16.8026,128.0,0.8,6446.453125,246961.2109375
109,cpu,cpu,vgg13,vgg,16.0,512.0,float64,133047848.0,0.6405625,0.0,0.0,10.249,128.0,0.8,7043.8125,246355.7265625
110,cpu,cpu,vgg13,vgg,32.0,512.0,float64,133047848.0,0.635784375,0.0,0.0,20.3452,128.0,0.8,7078.86328125,246320.45703125
111,cpu,cpu,vgg13,vgg,64.0,512.0,float64,133047848.0,0.66757359375,0.0,0.0,42.72471,128.0,0.8,7078.86328125,246320.45703125
112,cpu,cpu,vgg16,vgg,16.0,512.0,float32,138357544.0,0.3762375,0.0,0.0,6.0198,128.0,0.8,5738.078125,247925.140625
113,cpu,cpu,vgg16,vgg,32.0,512.0,float32,138357544.0,0.373596875,0.0,0.0,11.9551,128.0,0.8,5610.3515625,248045.81640625
114,cpu,cpu,vgg16,vgg,64.0,512.0,float32,138357544.0,0.372265625,0.0,0.0,23.8251,128.0,0.8,5639.3046875,248008.03125
115,cpu,cpu,vgg16,vgg,16.0,512.0,float64,138357544.0,0.89235625,0.0,0.0,14.2777,128.0,0.8,6256.16796875,247391.5078125
116,cpu,cpu,vgg16,vgg,32.0,512.0,float64,138357544.0,0.88728125,0.0,0.0,28.393,128.0,0.8,6267.25,247379.46875
117,cpu,cpu,vgg16,vgg,64.0,512.0,float64,138357544.0,0.9316453125,0.0,0.0,59.6253,128.0,0.8,6267.25,247379.46875
118,cpu,cpu,vgg19,vgg,16.0,10.0,float32,143667240.0,0.475,0.0,0.0,7.6,128.0,0.7,6598.33984375,247005.921875
119,cpu,cpu,vgg19,vgg,32.0,10.0,float32,143667240.0,0.462990625,0.0,0.0,14.8157,128.0,0.8,6634.46484375,246969.703125
120,cpu,cpu,vgg19,vgg,64.0,10.0,float32,143667240.0,0.4612015625,0.0,0.0,29.5169,128.0,0.8,6642.734375,246955.66796875
121,cpu,cpu,vgg19,vgg,16.0,10.0,float64,143667240.0,1.09216875,0.0,0.0,17.4747,128.0,0.8,7253.13671875,246344.61328125
122,cpu,cpu,vgg19,vgg,32.0,10.0,float64,143667240.0,1.089553125,0.0,0.0,34.8658,128.0,0.8,7321.62890625,246276.1640625
123,cpu,cpu,vgg19,vgg,64.0,10.0,float64,143667240.0,1.08598125,0.0,0.0,69.5028,128.0,0.8,7357.38671875,246240.40625
124,cpu,cpu,xception,misc,16.0,10.0,float32,22855952.0,0.14858125,0.0,0.0,2.3773,128.0,0.7,6221.69921875,247331.70703125
125,cpu,cpu,xception,misc,32.0,10.0,float32,22855952.0,0.152034375,0.0,0.0,4.8651,128.0,0.8,6209.11328125,247344.2890625
126,cpu,cpu,xception,misc,64.0,10.0,float32,22855952.0,0.156325,0.0,0.0,10.0049,128.0,0.8,6246.8671875,247306.53515625
127,cpu,cpu,xception,misc,16.0,10.0,float64,22855952.0,0.35468125,0.0,0.0,5.6749,128.0,0.8,6350.65234375,247202.671875
128,cpu,cpu,xception,misc,32.0,10.0,float64,22855952.0,0.35805,0.0,0.0,11.4576,128.0,0.8,6411.10546875,247142.21484375
129,cpu,cpu,xception,misc,64.0,10.0,float64,22855952.0,0.3629625,0.0,0.0,23.2296,128.0,0.8,6472.93359375,247080.4609375
